,0
0,1.0
1,1.0
2,1.0
3,1.0
4,3.0
5,0.0
6,0.0
7,0.0
8,2.0
9,1.0
10,2.0
11,0.0
12,0.0
13,1.0
14,0.0
15,1.0
16,0.0
17,4.0
18,2.0
19,1.0
20,0.0
21,0.0
22,1.0
23,5.0
24,1.0
25,2.0
26,1.0
27,2.0
28,0.0
29,2.0
30,0.0
31,1.0
32,4.0
33,0.0
34,2.0
35,1.0
36,1.0
37,3.0
38,2.0
39,2.0
40,0.0
41,0.0
42,2.0
43,0.0
44,0.0
45,0.0
46,1.0
47,1.0
48,0.0
49,2.0
50,1.0
51,1.0
52,3.0
53,0.0
54,3.0
55,2.0
56,3.0
57,0.0
58,0.0
59,3.0
60,1.0
61,1.0
62,2.0
63,5.0
64,2.0
65,0.0
66,1.0
67,1.0
68,0.0
69,1.0
70,1.0
71,0.0
72,0.0
73,2.0
74,1.0
75,0.0
76,1.0
77,2.0
78,1.0
79,2.0
80,2.0
81,1.0
82,1.0
83,0.0
84,1.0
85,1.0
86,1.0
87,0.0
88,2.0
89,1.0
90,0.0
91,1.0
92,0.0
93,0.0
94,1.0
95,2.0
96,3.0
97,0.0
98,0.0
99,0.0
100,0.0
101,2.0
102,2.0
103,3.0
104,6.0
105,2.0
106,1.0
107,0.0
108,1.0
109,3.0
110,0.0
111,0.0
112,0.0
113,2.0
114,0.0
115,1.0
116,2.0
117,1.0
118,0.0
119,2.0
120,0.0
121,2.0
122,1.0
123,2.0
124,0.0
125,0.0
126,0.0
127,0.0
128,2.0
129,1.0
130,3.0
131,0.0
132,0.0
133,0.0
134,2.0
135,1.0
136,2.0
137,1.0
138,4.0
139,4.0
140,3.0
141,2.0
142,0.0
143,2.0
144,0.0
145,1.0
146,1.0
147,2.0
148,2.0
149,2.0
150,1.0
151,0.0
152,1.0
153,0.0
154,0.0
155,4.0
156,3.0
157,1.0
158,3.0
159,2.0
160,1.0
161,1.0
162,1.0
163,2.0
164,1.0
165,1.0
166,2.0
167,1.0
168,0.0
169,4.0
170,1.0
171,2.0
172,1.0
173,7.0
174,3.0
175,2.0
176,1.0
177,1.0
178,1.0
179,1.0
180,0.0
181,4.0
182,1.0
183,0.0
184,0.0
185,2.0
186,1.0
187,1.0
188,2.0
189,5.0
190,2.0
191,4.0
192,0.0
193,1.0
194,0.0
195,2.0
196,3.0
197,3.0
198,2.0
199,1.0
200,3.0
201,1.0
202,1.0
203,2.0
204,0.0
205,0.0
206,1.0
207,0.0
208,0.0
